RW9sMtmrz2g,VPN groups
ys7q1MVbSP4,Different patterns of sampling visual space in the Drosophila visual system
3Gvpj9ghnH4,Regions of the Drosophila visual system and 15 columnar cell types
qiy3ZLzfq5E,LT74, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
igsBcFuQEgM,LT80, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
i__Pn_qTk-0,LT79, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
g-gySX-a0js,LT84, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
_ue8EXv8HIM,One selected neuron per cell type in the visual system catalog of Drosophila
XutFLFucqY0,LT68, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
HrruYHI1p8U,LT77, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
VtuyY9IxRHA,LT70, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
U6UELBqs7XI,LT69, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
Q3gjP_49FS4,LT86, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
MgZytGp8N5s,LT82b, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
L2Cemp_npkY,LT72, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
JSTczCddPeM,LT78, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
BwSming3B-E,LT73, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
BXWhwF1CuGY,LT82a, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
7undy7ZWNhM,LT87, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
6i1ETv8PdPs,LT83, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
6Er2WYinG2Y,LT88, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
5lYzgHpFkSI,LT81, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
3CLwpM-6uik,LT76, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
00jgJo7OPpk,LT75, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
j1-VsXDfPmw,Am1, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
MketiWh-no0,aMe1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
JvdZ2mypd2E,5-HTPMPV01, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
3dSxMFzhH1w,5thsLNv_LNd6, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
3L5JjQaOBkU,5-HTPMPV03, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
vBKfM2G7oGM,aMe2, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
lOofQOSSQao,aMe10, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
Vv4qzNqeLw4,aMe5, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
UmzrcEsGF_0,aMe8, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
TUuOo-xLRlg,aMe9, a Drosophila Visual Projection Neuron from optic-lobe:v1.0
CtWjlYfyUg4,aMe4, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
ACoA_SFTXZU,aMe6b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
A5oR6fJOi_s,aMe6a, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
6y0A6e8E6pM,aMe3, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
1e0z4-9dSiU,aMe6c, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
wFj49cNNN4g,aMe15, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
kBfM_mOiJkM,aMe22, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
aAeP4vQWLKA,aMe13, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
MPS_0LQ6r_c,aMe17e, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
7hnXD2g-MRw,aMe17c, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0
6cA-NY4-DPg,aMe12, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
0agbjCBQQf0,aMe17b, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0
ruOppEpe-2s,aMe20, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
Ac1RTs0-cGM,aMe17a, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
znbNzXtWn34,aMe24, a Drosophila visual system neuron from optic-lobe:v1.0 (short)
oG197E0-Ao8,aMe25, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
gPyMATavxic,aMe_TBD1, a Drosophila visual system neuron from optic-lobe:v1.0 (short)
WowmBE0Sf-0,AOTU045, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
V0jZCVyA1XE,aMe30, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
S90YgQaWbGk,aMe23, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
O9Gy1Ql8yUo,aMe26, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
7qrSXoftzh4,Ascending_TBD1, a Drosophila visual system neuron from optic-lobe:v1.0 (short)
vLbDgm-PA28,CL125, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
urMajR3wjBw,Cm5, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
cFjZtxr5W1o,CL357, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
Xo8pLvLH2Y4,C2, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0
Tbn58r0xCbo,Cm2, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
FpcLxvR9d1A,Cm3, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
DvU1RVPn-YA,Cm4, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
D37Z1zNRAvQ,Cm1, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
78FnWzcUB88,C3, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0
2pe2o3fuz0w,Cm6, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
KwVPfR9alYc,Li19, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
HKZr9XzTEGY,Cm11c, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
kL1In5YzsBg,Li20, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
evvvbCIJSoE,Cm8, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
d7O8ocy61dE,Cm11b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
YyooP9df45A,Cm10, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
V3h4gf7tHoM,Cm9, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
SFFnDGoE_aM,Cm11d, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
Ouc6X0M7upw,Cm7, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
F-i4UDAsR68,Cm11a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
RjnoUjAQenE,Li21, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
O5PNWOgDyKY,Li23, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
vcq_3RO_zGM,Li29, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
vDKDiMaetI0,Li27, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
q7fgqXwaTFQ,Li25, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
f-EyegjkPzY,Cm12, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
ZTZpmkpXnog,Li22, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
YljjL7YFPFc,Cm13, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
